Descriptions,Value,Function Name
Press PATA in order to switch ESP off,45,SC_pata_set
Increase vehicle speed to > VALUE kmh,38,SC_goto_target_speed
Press brake pedal VALUE % to reach emergency braking and ABS intervention,51,SC_set_brake
During ABS intervention set steering wheel + NETLC VALUE ° to reach NETLC changes,58,SC_set_SteeringAngle
Set battery voltage = VALUE V,59,SC_set_Ubatt
"Ignition on , fault free system",43,SC_ignition_on
ESP full system is available,36,SC_ecu_on
Set road surface to high µ,57,SC_set_mue
No slope,56,SC_set_label
Drive straight on on a flat road . Vehicle speed = VALUE kmh,38,SC_goto_target_speed
Press brake pedal VALUE %,51,SC_set_brake
Disconnect signal NETLC and NETLC,44,SC_interrupt_lines
Check failure words,2,DCOM_read_and_eval_fcm_rb
Accelerate vehicle up to VALUE kmh,48,SC_set_accelerator
Release accelerator pedal,48,SC_set_accelerator
press brake NETLC to VALUE % in VALUE ms,51,SC_set_brake
Wait until vehicle is in standstill,70,SC_wait_ms
Release brake pedal,51,SC_set_brake
Check signals NETLC and NETLC,27,SC_CA_read_can_signal
Set road surface to low µ,57,SC_set_mue
Function switch NETLC = ON,56,SC_set_label
Set µ split : left side µ = VALUE and right side µ = VALUE,56,SC_set_label
Set gear position to R,55,SC_set_gear
Press accelerator pedal until max . speed is reached,48,SC_set_accelerator
press brake pedal to get ABS active,51,SC_set_brake
Brake until standstill,54,SC_set_brake_and_wait
During ABS intervention turn steering wheel from left to right so that a change in the yaw rate sensor value is recognized,62,SC_start_maneuver
Check signal NETLC,27,SC_CA_read_can_signal
Set gear position to D,55,SC_set_gear
Press accelerator pedal until VALUE kmh is reached,50,SC_set_accelerator_and_wait
Set low µ,57,SC_set_mue
Set a road slope = VALUE %,64,SC_stimuli_signal_constant
Accelerate until vehicle speed = VALUE kmh,50,SC_set_accelerator_and_wait
Set µ = VALUE,57,SC_set_mue
Accelerate vehicle until VALUE kmh,50,SC_set_accelerator_and_wait
Press brake pedal to reach ABS activity until standstill,54,SC_set_brake_and_wait
During ABS intervention disconnect VALUE WSS,44,SC_interrupt_lines
Check failure word,2,DCOM_read_and_eval_fcm_rb
Check target state ABS and EBD,46,SC_read_label
Check NETLC and NETLC,46,SC_read_label
Vehicle is in standstill,38,SC_goto_target_speed
apply brake pedal to get ABS active,51,SC_set_brake
Check pump strategy,46,SC_read_label
Check valve strategy ,46,SC_read_label
Drive straight on with vehicle speed = VALUE kmh,38,SC_goto_target_speed
Set NETLC = VALUE mm,46,SC_read_label
Set accelerator pedal = VALUE %,48,SC_set_accelerator
Press brake pedal = VALUE %,51,SC_set_brake
Wait VALUE s,70,SC_wait_ms
Set low µ on left side ,57,SC_set_mue
Set high µ on right side,57,SC_set_mue
Press brake pedal to VALUE % for VALUE s,51,SC_set_brake
Check ABS_active,46,SC_read_label
"Check signals PARAMETER , PARAMETER",46,SC_read_label
Check Bosch failure words,2,DCOM_read_and_eval_fcm_rb
Function switch NETLC = NETLC,56,SC_set_label
Set road surface to homogeneous low µ,57,SC_set_mue
Apply brake pedal = VALUE %,51,SC_set_brake
Set road surface to µ split . Left side VALUE and right side = VALUE,56,SC_set_label
Set road surface to homogeneous high µ,57,SC_set_mue
Set road surface to µ split,57,SC_set_mue
Set vehicle speed = VALUE kmh,38,SC_goto_target_speed
Set brake pedal = VALUE %,51,SC_set_brake
Check NETLC,46,SC_read_label
Fault free system,36,SC_ecu_on
UBatt = VALUE V,59,SC_set_Ubatt
Ignition On,43,SC_ignition_on
SCM coded ON,56,SC_set_label
Vehicle speed = VALUE kph,38,SC_goto_target_speed
SCM counter varies periodically ,46,SC_read_label
